taskset,deadline,max. chip size,actual chip size,#big,#little,energy_consumption,objective function value
low_n80_1_biglittle,115.89285714285715,60.8,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,57.0,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,53.2,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,49.4,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,45.6,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,41.8,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,38.0,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,34.2,34.199999999999996,0.0,9.0,890.3794642857144,890.3794642857144
low_n80_1_biglittle,115.89285714285715,30.4,
low_n80_1_biglittle,115.89285714285715,26.6,
low_n80_1_biglittle,115.89285714285715,22.8,
low_n80_1_biglittle,115.89285714285715,19.0,
low_n80_1_biglittle,115.89285714285715,15.2,
